transform,method,THType,bestTH,Time,PSNR,SSIM
None,None,None,None,0.0,15.561784018214867,0.2391151472996798
DWT,VisuShrink,Hard,Individual,0.0017447419999999999,17.2571535679099,0.23953946180223604
DWT,VisuShrink,Hard,Average,0.0013262080000000002,17.29861522455882,0.2405839068590423
DWT,VisuShrink,Hard,Median,0.001253254,17.30419891565465,0.2408930093892342
DWT,RelErrorShrink,Hard,Individual,0.00174748,17.897093531636532,0.2672863291183531
DWT,RelErrorShrink,Hard,Average,0.0012799780000000004,18.09110495707918,0.274133144113799
DWT,RelErrorShrink,Hard,Median,0.0012990499999999997,18.068352728207106,0.27425965801594404
WPT-L4,VisuShrink,Hard,Individual,0.0031504280000000003,17.098936811657587,0.23575629928470979
WPT-L4,VisuShrink,Hard,Average,0.0036323900000000005,17.381436153294494,0.24346642511358685
WPT-L4,VisuShrink,Hard,Median,0.003085758,17.45677503648768,0.24607358701691173
WPT-L4,RelErrorShrink,Hard,Individual,0.0031323500000000008,17.68681179724453,0.2619072350794341
WPT-L4,RelErrorShrink,Hard,Average,0.003878029999999998,17.744372815688315,0.2630010411830305
WPT-L4,RelErrorShrink,Hard,Median,0.0036055760000000005,17.739464454633787,0.2627746795229384
WPT-L8,VisuShrink,Hard,Individual,0.011259633999999998,15.561784018214858,0.23911514729967964
WPT-L8,VisuShrink,Hard,Average,0.009616564000000001,15.561784018214858,0.23911514729967964
WPT-L8,VisuShrink,Hard,Median,0.011097217999999999,15.561784018214858,0.23911514729967964
WPT-L8,RelErrorShrink,Hard,Individual,0.00968107,16.661720919005266,0.22345286159905875
WPT-L8,RelErrorShrink,Hard,Average,0.010322898,16.87412966542007,0.23183849083713795
WPT-L8,RelErrorShrink,Hard,Median,0.011579750000000002,16.885036879076697,0.23263711579335222
WPT-BT,VisuShrink,Hard,Individual,0.007358589999999998,16.338949764345173,0.23968873718511216
WPT-BT,VisuShrink,Hard,Average,0.0056586100000000005,16.743517232577954,0.2456427320352105
WPT-BT,VisuShrink,Hard,Median,0.0062290919999999994,16.658930628440793,0.24528871867996555
WPT-BT,RelErrorShrink,Hard,Individual,0.006316371999999999,17.108702412977586,0.2455543811889708
WPT-BT,RelErrorShrink,Hard,Average,0.0065595179999999986,17.18222073995025,0.24774322917733602
WPT-BT,RelErrorShrink,Hard,Median,0.006540241999999998,17.175593996308518,0.24764946162660742
JBB,VisuShrink,Hard,Individual,0.008161048,15.77967332724723,0.21971076234564535
JBB,VisuShrink,Hard,Average,0.007173961999999998,16.169371232133248,0.22657238202746918
JBB,VisuShrink,Hard,Median,0.007138371999999999,16.255634946807408,0.23198713015976147
JBB,RelErrorShrink,Hard,Individual,0.0072289519999999986,16.750257527193195,0.2284956635483942
JBB,RelErrorShrink,Hard,Average,0.007588394000000001,16.94487340223053,0.23686499090466512
JBB,RelErrorShrink,Hard,Median,0.007306792000000001,16.953572954335854,0.23767455520984512
LSDB,VisuShrink,Hard,Individual,0.0066971520000000005,16.157434401219074,0.24328458662728816
LSDB,VisuShrink,Hard,Average,0.007265111999999999,16.74292382588847,0.22473036523847834
LSDB,VisuShrink,Hard,Median,0.007511693999999998,16.798272390762364,0.23221054735294877
LSDB,RelErrorShrink,Hard,Individual,0.007838364000000002,17.1456715966983,0.2416594241479778
LSDB,RelErrorShrink,Hard,Average,0.0075520940000000005,17.130571843709575,0.24525188175953377
LSDB,RelErrorShrink,Hard,Median,0.007194196000000002,17.17173386287396,0.2448888808880895
ACWT,VisuShrink,Hard,Individual,0.0024040359999999996,17.45850875967018,0.2561056820765499
ACWT,VisuShrink,Hard,Average,0.0032465460000000008,17.48126356331683,0.25797790659742353
