transform,method,THType,bestTH,Time,PSNR,SSIM
None,None,None,None,0.0,10.545646273040575,0.23422683691865623
DWT,VisuShrink,Hard,Individual,0.001287298,13.695447922100765,0.6408726017648941
DWT,VisuShrink,Hard,Average,0.002056858,13.755584757012452,0.6441480058601903
DWT,VisuShrink,Hard,Median,0.001996164,13.757666870876369,0.6443084243129443
DWT,RelErrorShrink,Hard,Individual,0.001339156,13.418417345305022,0.5346887195369121
DWT,RelErrorShrink,Hard,Average,0.0019575359999999993,13.36134086145255,0.5220607757957922
DWT,RelErrorShrink,Hard,Median,0.0012843499999999999,13.404724610651204,0.5272234813156228
WPT-L4,VisuShrink,Hard,Individual,0.0031695520000000017,14.02543644743483,0.5705406935438279
WPT-L4,VisuShrink,Hard,Average,0.0037745879999999997,14.62691985943656,0.6329451581991663
WPT-L4,VisuShrink,Hard,Median,0.0030961519999999996,14.664348261116745,0.6334158504454688
WPT-L4,RelErrorShrink,Hard,Individual,0.003263304,12.830018737227608,0.37056508471914884
WPT-L4,RelErrorShrink,Hard,Average,0.003386435999999999,12.503127495167144,0.32919541836906474
WPT-L4,RelErrorShrink,Hard,Median,0.0031974599999999996,12.785231760732653,0.35052783132036475
WPT-L8,VisuShrink,Hard,Individual,0.010955286000000002,10.545646273040564,0.23422683691865592
WPT-L8,VisuShrink,Hard,Average,0.011930350000000001,10.545646273040564,0.23422683691865592
WPT-L8,VisuShrink,Hard,Median,0.010164148,10.545646273040564,0.23422683691865592
WPT-L8,RelErrorShrink,Hard,Individual,0.011368623999999996,11.890305355007731,0.28568271299948994
WPT-L8,RelErrorShrink,Hard,Average,0.011370017999999999,11.904226720979052,0.2718823731415761
WPT-L8,RelErrorShrink,Hard,Median,0.009973626000000001,11.937279506983606,0.2742921079643091
WPT-BT,VisuShrink,Hard,Individual,0.007120318,11.979874406687745,0.3499606940267882
WPT-BT,VisuShrink,Hard,Average,0.006203476000000002,12.15259016689805,0.2987436473163467
WPT-BT,VisuShrink,Hard,Median,0.005994490000000002,12.06672579637856,0.29468997666453084
WPT-BT,RelErrorShrink,Hard,Individual,0.007144412,12.670789169093702,0.34555421972502964
WPT-BT,RelErrorShrink,Hard,Average,0.005722987999999997,12.510584472203616,0.3192204377081488
WPT-BT,RelErrorShrink,Hard,Median,0.005937222,12.503843421282118,0.31861001160140273
JBB,VisuShrink,Hard,Individual,0.006080590000000002,12.37847760331214,0.412705641107189
JBB,VisuShrink,Hard,Average,0.005985032000000001,13.488373382389543,0.48276017780044234
JBB,VisuShrink,Hard,Median,0.006151414000000001,13.328138114459858,0.44319596006920775
JBB,RelErrorShrink,Hard,Individual,0.007157216000000001,13.034272188476388,0.3659883782152843
JBB,RelErrorShrink,Hard,Average,0.005907179999999999,12.829626875268534,0.3320039057951301
JBB,RelErrorShrink,Hard,Median,0.005974539999999998,12.898412898445677,0.33630576456392136
LSDB,VisuShrink,Hard,Individual,0.005906524000000001,12.208217758883384,0.3973442969157292
LSDB,VisuShrink,Hard,Average,0.005648936000000001,13.313859053242824,0.46927305934891556
LSDB,VisuShrink,Hard,Median,0.005845686,13.152359257570446,0.4314655790097305
LSDB,RelErrorShrink,Hard,Individual,0.009475369999999999,12.991405321548251,0.3635944614619438
LSDB,RelErrorShrink,Hard,Average,0.005709191999999999,12.731615381044499,0.3317025218622466
LSDB,RelErrorShrink,Hard,Median,0.005791439999999998,12.874441857482802,0.3407017411101758
ACWT,VisuShrink,Hard,Individual,0.003183075999999999,15.161228409297703,0.6987890138654275
ACWT,VisuShrink,Hard,Average,0.005581528000000001,15.185195080438088,0.7012586343748218
ACWT,VisuShrink,Hard,Median,0.0033023380000000006,15.191802539614923,0.7015018147205379
ACWT,RelErrorShrink,Hard,Individual,0.0034402319999999997,12.420143858116164,0.5521120742024418
