transform,method,THType,bestTH,Time,PSNR,SSIM
None,None,None,None,0.0,8.28907822688672,0.0470598641856226
DWT,VisuShrink,Hard,Individual,0.001348096,16.924279546973693,0.660725210385271
DWT,VisuShrink,Hard,Average,0.00131922,17.08964625742655,0.6672650849313905
DWT,VisuShrink,Hard,Median,0.0013585999999999997,17.0921752785087,0.6674551099667125
DWT,RelErrorShrink,Hard,Individual,0.0013820739999999998,12.092926154136899,0.31385653758978366
DWT,RelErrorShrink,Hard,Average,0.001335762,11.549445195981985,0.2651288283528006
DWT,RelErrorShrink,Hard,Median,0.0013689280000000002,11.50638634000944,0.26111257475365646
WPT-L4,VisuShrink,Hard,Individual,0.0042872100000000005,15.193917421792259,0.5040350920178844
WPT-L4,VisuShrink,Hard,Average,0.003178238000000001,16.454935558515682,0.6062889354801851
WPT-L4,VisuShrink,Hard,Median,0.003120902,16.44223969208352,0.6021470038674782
WPT-L4,RelErrorShrink,Hard,Individual,0.003326153999999999,11.263826595945437,0.1311353392665464
WPT-L4,RelErrorShrink,Hard,Average,0.003529131999999999,10.766492306190507,0.09610640476853821
WPT-L4,RelErrorShrink,Hard,Median,0.004211039999999998,11.02184055729942,0.10617183830509357
WPT-L8,VisuShrink,Hard,Individual,0.011050788,8.289078226886714,0.047059864185622524
WPT-L8,VisuShrink,Hard,Average,0.011538818,8.289078226886714,0.047059864185622524
WPT-L8,VisuShrink,Hard,Median,0.01043296,8.289078226886714,0.047059864185622524
WPT-L8,RelErrorShrink,Hard,Individual,0.010371690000000003,13.640800940965867,0.1877818726237832
WPT-L8,RelErrorShrink,Hard,Average,0.011972704,13.06679731612522,0.12759333640115633
WPT-L8,RelErrorShrink,Hard,Median,0.011275385999999998,12.759796629116334,0.11889617211007049
WPT-BT,VisuShrink,Hard,Individual,0.008085125999999998,11.362811292226736,0.19178748106416946
WPT-BT,VisuShrink,Hard,Average,0.007149110000000001,10.457334112665444,0.07715500000570483
WPT-BT,VisuShrink,Hard,Median,0.008334316,10.262844454716813,0.07395653295835809
WPT-BT,RelErrorShrink,Hard,Individual,0.007040134,12.524609801219777,0.1655265337918829
WPT-BT,RelErrorShrink,Hard,Average,0.006805509999999999,11.808982391283315,0.10858782995383898
WPT-BT,RelErrorShrink,Hard,Median,0.008461057999999999,11.815873330123063,0.10891810198715376
