transform,method,THType,bestTH,Time,PSNR,SSIM
None,None,None,None,0.0,8.28907822688673,0.04844587964130355
DWT,VisuShrink,Hard,Individual,0.00014895999999999998,17.0552561961813,0.667423357139924
DWT,VisuShrink,Hard,Average,0.00012833999999999998,17.303577751540153,0.6805624263471634
DWT,VisuShrink,Hard,Median,0.00013288000000000002,17.322891735970273,0.6814162963949921
DWT,RelErrorShrink,Hard,Individual,0.00013844,11.265349001239164,0.24338187666472466
DWT,RelErrorShrink,Hard,Average,0.00012768,10.704742252637022,0.1908531007052604
DWT,RelErrorShrink,Hard,Median,0.00014712,10.942854995975239,0.21091709759785515
WPT-L4,VisuShrink,Hard,Individual,0.00034003999999999995,15.232815315567105,0.5181559063456739
WPT-L4,VisuShrink,Hard,Average,0.00034340000000000005,16.48774048081288,0.6161521339005777
WPT-L4,VisuShrink,Hard,Median,0.00032154000000000004,16.313092540019415,0.607074134076426
WPT-L4,RelErrorShrink,Hard,Individual,0.00034202,11.009862966930706,0.11795635398620055
WPT-L4,RelErrorShrink,Hard,Average,0.0003702,10.497616445432689,0.08976571946487251
WPT-L4,RelErrorShrink,Hard,Median,0.00035712,10.650922977561617,0.09214168229985609
WPT-L8,VisuShrink,Hard,Individual,0.00114866,12.764160334819024,0.33699159415847485
WPT-L8,VisuShrink,Hard,Average,0.0010899,15.663364305858181,0.4295997371318717
WPT-L8,VisuShrink,Hard,Median,0.0009956600000000002,15.60234105803843,0.43919082843008983
WPT-L8,RelErrorShrink,Hard,Individual,0.0009304399999999999,13.830130177613805,0.20109022977739435
WPT-L8,RelErrorShrink,Hard,Average,0.00095356,13.347592682654039,0.13618661894549175
WPT-L8,RelErrorShrink,Hard,Median,0.0009378600000000001,13.20892755257545,0.1367916706532484
WPT-BT,VisuShrink,Hard,Individual,0.0006923999999999999,12.853082142576309,0.27817296167937117
WPT-BT,VisuShrink,Hard,Average,0.00066618,13.94245266195693,0.24878186474887487
WPT-BT,VisuShrink,Hard,Median,0.00061706,12.694806399522786,0.1625422859691184
WPT-BT,RelErrorShrink,Hard,Individual,0.00061622,12.295443549031411,0.1465517502533354
WPT-BT,RelErrorShrink,Hard,Average,0.0006089600000000001,11.644713004815713,0.10298058471283886
WPT-BT,RelErrorShrink,Hard,Median,0.00060132,11.709270833846197,0.10580005217191377
JBB,VisuShrink,Hard,Individual,0.0005972999999999999,14.370207496138823,0.4400624394991948
JBB,VisuShrink,Hard,Average,0.00056012,16.05823359820952,0.49227849688514597
JBB,VisuShrink,Hard,Median,0.00055476,15.398301127222785,0.47811716491677203
JBB,RelErrorShrink,Hard,Individual,0.00056438,12.288990023166672,0.14396884693827308
JBB,RelErrorShrink,Hard,Average,0.0005393400000000001,11.88580933113862,0.11835104930685976
JBB,RelErrorShrink,Hard,Median,0.0005415999999999999,12.197468119896067,0.1317287087399015
LSDB,VisuShrink,Hard,Individual,0.00069628,12.920174262658833,0.3266826991591156
LSDB,VisuShrink,Hard,Average,0.00066578,14.713334490639648,0.3412395981474063
LSDB,VisuShrink,Hard,Median,0.00062498,13.910235689472383,0.3105558389145195
LSDB,RelErrorShrink,Hard,Individual,0.00062976,12.440136146646932,0.15124448949232888
LSDB,RelErrorShrink,Hard,Average,0.0006192600000000001,12.17358893236148,0.12028523339647537
LSDB,RelErrorShrink,Hard,Median,0.0006501399999999999,12.084278086799326,0.11349502765287633
ACWT,VisuShrink,Hard,Individual,0.0004345,18.327445650718996,0.7013398035869608
ACWT,VisuShrink,Hard,Average,0.00037171999999999997,18.45361059290877,0.708165524394371
ACWT,VisuShrink,Hard,Median,0.00038241999999999996,18.440508608216355,0.7076865913352688
ACWT,RelErrorShrink,Hard,Individual,0.00037766,10.736000705920056,0.3336449140526323
ACWT,RelErrorShrink,Hard,Average,0.00036537999999999995,9.947382476128107,0.34128909497103455
ACWT,RelErrorShrink,Hard,Median,0.00038216,10.059009715814762,0.34479685007806393
ACWPT-L4,VisuShrink,Hard,Individual,0.00867048,17.28864755687116,0.5700601833327159
ACWPT-L4,VisuShrink,Hard,Average,0.006042860000000001,17.909774469191795,0.6272109491742549
ACWPT-L4,VisuShrink,Hard,Median,0.00899152,17.848879970509884,0.6205780167694919
ACWPT-L4,RelErrorShrink,Hard,Individual,0.0089827,12.094736456356376,0.14746153180605828
ACWPT-L4,RelErrorShrink,Hard,Average,0.00655554,11.99876936229655,0.14196715924242911
ACWPT-L4,RelErrorShrink,Hard,Median,0.00938042,12.029832088808126,0.14358880281233743
ACWPT-L8,VisuShrink,Hard,Individual,0.0156116,16.614856565624223,0.4275893723350583
ACWPT-L8,VisuShrink,Hard,Average,0.02946418,17.881809339941487,0.4907722998209879
ACWPT-L8,VisuShrink,Hard,Median,0.01687926,17.635760417276675,0.43781566201761446
ACWPT-L8,RelErrorShrink,Hard,Individual,0.01431868,12.82368710422015,0.12190549621860103
ACWPT-L8,RelErrorShrink,Hard,Average,0.019559200000000002,12.743410042799674,0.1186392551923052
ACWPT-L8,RelErrorShrink,Hard,Median,0.0722284,12.687998717871446,0.11744919244560206
ACWPT-BT,VisuShrink,Hard,Individual,0.0148035,16.73094613197984,0.4288874126256931
ACWPT-BT,VisuShrink,Hard,Average,0.01595462,17.875831086905677,0.4770771331819512
ACWPT-BT,VisuShrink,Hard,Median,0.01755128,17.627047873469667,0.4320840081991174
ACWPT-BT,RelErrorShrink,Hard,Individual,0.01885492,13.171844626978487,0.135047636417369
ACWPT-BT,RelErrorShrink,Hard,Average,0.01524614,13.108169431233492,0.13100028345695774
ACWPT-BT,RelErrorShrink,Hard,Median,0.014812239999999999,13.136955832037646,0.13200901662531392
ACJBB,VisuShrink,Hard,Individual,0.014446419999999998,16.932155351279516,0.4455394184202919
ACJBB,VisuShrink,Hard,Average,0.01666842,18.134118938467928,0.5076856129486016
ACJBB,VisuShrink,Hard,Median,0.013101360000000001,17.942385410889873,0.4627085761042425
ACJBB,RelErrorShrink,Hard,Individual,0.021684879999999997,13.091812514380445,0.12957783501695355
ACJBB,RelErrorShrink,Hard,Average,0.0186921,13.05763529437005,0.12696463384990217
ACJBB,RelErrorShrink,Hard,Median,0.01443964,13.004294973415133,0.12565257603932561
ACLSDB,VisuShrink,Hard,Individual,0.01630838,16.90570463646176,0.4472013295362546
ACLSDB,VisuShrink,Hard,Average,0.020365139999999997,18.082397948789552,0.5108234326567771
ACLSDB,VisuShrink,Hard,Median,0.014469500000000001,17.869062189217026,0.4653452605134484
ACLSDB,RelErrorShrink,Hard,Individual,0.019838139999999997,13.064255326973637,0.13119333839606565
ACLSDB,RelErrorShrink,Hard,Average,0.016095739999999997,13.04181844607931,0.12719282417266964
ACLSDB,RelErrorShrink,Hard,Median,0.018829199999999997,13.029659059764295,0.1270991666862432
SDWT,VisuShrink,Hard,Individual,0.0113164,19.874277153949237,0.789282705275291
SDWT,VisuShrink,Hard,Average,0.01082034,19.939734794602145,0.7946541358914979
SDWT,VisuShrink,Hard,Median,0.00968432,19.920872254380754,0.7940548081902048
SDWT,RelErrorShrink,Hard,Individual,0.01078324,18.24686078180443,0.7943802020939197
SDWT,RelErrorShrink,Hard,Average,0.010707,15.61840640835581,0.7537056727846319
SDWT,RelErrorShrink,Hard,Median,0.01120964,16.12575672202103,0.7619083043019901
SWPT-L4,VisuShrink,Hard,Individual,0.019407380000000002,17.841815335901938,0.6631061802521048
SWPT-L4,VisuShrink,Hard,Average,0.01734714,18.16009180022869,0.6940605900705334
SWPT-L4,VisuShrink,Hard,Median,0.0163243,18.132875687877036,0.6944234191061442
SWPT-L4,RelErrorShrink,Hard,Individual,0.014007979999999998,13.100085044306468,0.17173735628660888
SWPT-L4,RelErrorShrink,Hard,Average,0.02385496,13.001256148463762,0.16520710363071892
SWPT-L4,RelErrorShrink,Hard,Median,0.016319780000000002,13.06263320711391,0.16795211280682004
SWPT-L8,VisuShrink,Hard,Individual,1.8148159399999997,18.917558848630158,0.6811149520574611
SWPT-L8,VisuShrink,Hard,Average,1.9776063999999998,19.414180801730872,0.7623386040268241
SWPT-L8,VisuShrink,Hard,Median,1.84256724,19.4246028323223,0.7468777735556509
SWPT-L8,RelErrorShrink,Hard,Individual,1.7492533599999998,14.206221701662665,0.16195183271838665
SWPT-L8,RelErrorShrink,Hard,Average,1.7681091600000003,14.095552331181555,0.1566337466488317
SWPT-L8,RelErrorShrink,Hard,Median,1.8015963200000003,14.15237911945336,0.15900941021121526
SWPT-BT,VisuShrink,Hard,Individual,0.55185816,18.657720072126743,0.6235620725685209
SWPT-BT,VisuShrink,Hard,Average,0.54425364,19.40956360729292,0.6798816208660136
SWPT-BT,VisuShrink,Hard,Median,0.55079128,19.263645137422866,0.6436903399926239
SWPT-BT,RelErrorShrink,Hard,Individual,0.5654441400000001,14.314552143303363,0.2515761253095572
SWPT-BT,RelErrorShrink,Hard,Average,0.52315182,14.81682056098623,0.22165622747612668
SWPT-BT,RelErrorShrink,Hard,Median,0.55588734,13.42624015510628,0.16154944984678796
SJBB,VisuShrink,Hard,Individual,0.6355051,19.372407179757666,0.7315618767841532
SJBB,VisuShrink,Hard,Average,0.61909394,19.632227555375785,0.7744495908607185
SJBB,VisuShrink,Hard,Median,0.60526246,19.634736601075993,0.7716884757066917
SJBB,RelErrorShrink,Hard,Individual,0.6143458999999999,14.154523323772981,0.17683896224097112
SJBB,RelErrorShrink,Hard,Average,0.60419944,14.056530723894403,0.16899474461701977
SJBB,RelErrorShrink,Hard,Median,0.6290693,14.101917690752103,0.1703474536152744
SLSDB,VisuShrink,Hard,Individual,0.5575445,19.267158651855105,0.7250867497865997
SLSDB,VisuShrink,Hard,Average,0.56934844,19.555486371539825,0.7687720791565015
SLSDB,VisuShrink,Hard,Median,0.55029348,19.556813677411785,0.7741502089339215
SLSDB,RelErrorShrink,Hard,Individual,0.55597192,14.012739770875276,0.26313572580920996
SLSDB,RelErrorShrink,Hard,Average,0.5433133,14.534988642651603,0.28538063324154334
