transform,method,THType,bestTH,Time,PSNR,SSIM
None,None,None,None,0.0,13.706714708533045,0.5959292101007904
DWT,VisuShrink,Hard,Individual,0.0012316680000000002,8.10972643111678,0.016489540162901828
DWT,VisuShrink,Hard,Average,0.0012739619999999998,8.101520736411347,0.015993231401575766
DWT,VisuShrink,Hard,Median,0.001272596,8.100064149729695,0.01599138599040347
DWT,RelErrorShrink,Hard,Individual,0.001391918,12.08128780276803,0.41614127435423526
DWT,RelErrorShrink,Hard,Average,0.0012804560000000003,12.388648511243762,0.4775197855655237
DWT,RelErrorShrink,Hard,Median,0.0012965000000000001,12.155163579194378,0.4441043814053986
WPT-L4,VisuShrink,Hard,Individual,0.0032195400000000003,8.078104116762352,0.01312189272948109
WPT-L4,VisuShrink,Hard,Average,0.003964556,7.994185119001177,0.008161892409565101
WPT-L4,VisuShrink,Hard,Median,0.003117412,7.992009863262222,0.0080676410044348
WPT-L4,RelErrorShrink,Hard,Individual,0.00311919,12.851216833834291,0.4952713987781206
WPT-L4,RelErrorShrink,Hard,Average,0.004358517999999999,13.264601579254599,0.5363116774956355
WPT-L4,RelErrorShrink,Hard,Median,0.0032330860000000013,13.265236358340495,0.5363065351401446
WPT-L8,VisuShrink,Hard,Individual,0.009898275999999998,13.70671470853302,0.5959292101007901
WPT-L8,VisuShrink,Hard,Average,0.009970511999999997,13.70671470853302,0.5959292101007901
WPT-L8,VisuShrink,Hard,Median,0.010058346000000001,13.70671470853302,0.5959292101007901
WPT-L8,RelErrorShrink,Hard,Individual,0.010900355999999998,11.858186479140501,0.4170400507370636
WPT-L8,RelErrorShrink,Hard,Average,0.010066580000000002,12.084594703749756,0.44238793704174123
WPT-L8,RelErrorShrink,Hard,Median,0.010003764,11.90824720515743,0.4247611200746099
WPT-BT,VisuShrink,Hard,Individual,0.0056475959999999995,12.463727053215976,0.45971700159800194
WPT-BT,VisuShrink,Hard,Average,0.005729728000000002,13.207260703604552,0.5286634709237545
WPT-BT,VisuShrink,Hard,Median,0.005836091999999999,13.746717129692536,0.5770458149213277
WPT-BT,RelErrorShrink,Hard,Individual,0.005720297999999998,13.667473493800387,0.5694583272664003
WPT-BT,RelErrorShrink,Hard,Average,0.006763645999999999,13.857869012889514,0.585375218374956
WPT-BT,RelErrorShrink,Hard,Median,0.0058016000000000005,13.872223854770775,0.5868218963657127
JBB,VisuShrink,Hard,Individual,0.009003945999999999,13.195414577701984,0.5409852765855916
JBB,VisuShrink,Hard,Average,0.006839038000000002,13.061676164008597,0.528842199057051
JBB,VisuShrink,Hard,Median,0.00952919,13.18228263096854,0.5420679134569085
JBB,RelErrorShrink,Hard,Individual,0.007009545999999998,13.259873935513378,0.5338105478384346
JBB,RelErrorShrink,Hard,Average,0.008034567999999999,13.541077714711072,0.5567310268739898
JBB,RelErrorShrink,Hard,Median,0.007839691999999999,13.491615907796856,0.5523054733613489
LSDB,VisuShrink,Hard,Individual,0.0075393199999999995,12.876649377769589,0.5033428292166531
LSDB,VisuShrink,Hard,Average,0.007118748000000003,12.668188814783939,0.48591284342553187
LSDB,VisuShrink,Hard,Median,0.006643093999999999,12.917156386346555,0.5114531799921497
LSDB,RelErrorShrink,Hard,Individual,0.006432124000000003,13.604049080232038,0.5547896245857503
LSDB,RelErrorShrink,Hard,Average,0.006342502,13.8659423770122,0.5760727291431025
LSDB,RelErrorShrink,Hard,Median,0.006415920000000002,13.843548111740828,0.5741459167564603
ACWT,VisuShrink,Hard,Individual,0.006472310000000001,7.844918307177518,0.007913894330384487
ACWT,VisuShrink,Hard,Average,0.007593979999999999,7.836157998642206,0.007917102279903903
ACWT,VisuShrink,Hard,Median,0.0030269040000000004,7.835950581981718,0.007881102950822528
ACWT,RelErrorShrink,Hard,Individual,0.00396431,10.46833433141415,0.20323732486602425
ACWT,RelErrorShrink,Hard,Average,0.0032296699999999996,10.16674513375344,0.15617657763096468
ACWT,RelErrorShrink,Hard,Median,0.0047984460000000005,10.231297665626808,0.1631758321697014
ACWPT-L4,VisuShrink,Hard,Individual,0.11618715000000002,8.512650047574082,0.025464019708378246
ACWPT-L4,VisuShrink,Hard,Average,0.11236527399999999,8.483961523331095,0.022690220825015518
ACWPT-L4,VisuShrink,Hard,Median,0.12296357600000002,8.482330872287262,0.02262053359944709
ACWPT-L4,RelErrorShrink,Hard,Individual,0.11982001199999996,14.962209466836466,0.6007350462246573
ACWPT-L4,RelErrorShrink,Hard,Average,0.128408864,15.075291868141223,0.608775780223483
ACWPT-L4,RelErrorShrink,Hard,Median,0.12019643199999995,15.117049766141882,0.6117957311250649
ACWPT-L8,VisuShrink,Hard,Individual,0.153084198,9.403984188021644,0.11462938103149613
ACWPT-L8,VisuShrink,Hard,Average,0.148332782,8.908908084297869,0.04183521772120076
ACWPT-L8,VisuShrink,Hard,Median,0.14909100399999997,8.9255250333004,0.043992078795766824
ACWPT-L8,RelErrorShrink,Hard,Individual,0.14832834800000005,12.498570287372656,0.46072805190394917
ACWPT-L8,RelErrorShrink,Hard,Average,0.15366253,12.528745897420784,0.4638746847603846
ACWPT-L8,RelErrorShrink,Hard,Median,0.14691642199999996,12.54344312247573,0.4651731639962995
ACWPT-BT,VisuShrink,Hard,Individual,0.13978473800000002,10.719235072563956,0.2554896938699638
