transform,method,THType,bestTH,Time,PSNR,SSIM
None,None,None,None,0.0,9.362350868326594,0.29781139964461706
DWT,VisuShrink,Hard,Individual,0.00016798000000000003,5.198314477846074,0.1899139973012826
DWT,VisuShrink,Hard,Average,0.00014084000000000001,5.154342513119287,0.1856224130569866
DWT,VisuShrink,Hard,Median,0.00012044,5.166688480397686,0.18648780488601335
DWT,RelErrorShrink,Hard,Individual,0.0001355,8.847361036907548,0.3913493061482408
DWT,RelErrorShrink,Hard,Average,0.00011763999999999999,9.450791456162454,0.4348653102275709
DWT,RelErrorShrink,Hard,Median,0.00012986,9.449267204429585,0.4320366735093796
WPT-L4,VisuShrink,Hard,Individual,0.00046955999999999994,8.970127409945,0.4320177506404773
WPT-L4,VisuShrink,Hard,Average,0.0003487,8.946186570816307,0.4421878431890005
WPT-L4,VisuShrink,Hard,Median,0.00032382,8.87099176722668,0.4360735442822626
WPT-L4,RelErrorShrink,Hard,Individual,0.00034644,11.096113403146393,0.4397879183084349
WPT-L4,RelErrorShrink,Hard,Average,0.00032288000000000005,11.174438993528423,0.41804944473271044
WPT-L4,RelErrorShrink,Hard,Median,0.0003542,11.40537493708425,0.4497939753051462
WPT-L8,VisuShrink,Hard,Individual,0.001115,5.710575483400072,0.1344540331493116
WPT-L8,VisuShrink,Hard,Average,0.0011558800000000002,4.342336284872953,0.07651605301236379
WPT-L8,VisuShrink,Hard,Median,0.00093746,5.297543098910677,0.1246046579277296
WPT-L8,RelErrorShrink,Hard,Individual,0.00086218,8.933497567781986,0.2794559189091319
WPT-L8,RelErrorShrink,Hard,Average,0.0008743799999999999,8.936481078941053,0.2784375529407418
WPT-L8,RelErrorShrink,Hard,Median,0.0008769599999999999,8.98260621800988,0.27979186754151114
WPT-BT,VisuShrink,Hard,Individual,0.00050786,9.365494084650187,0.39103711848798034
WPT-BT,VisuShrink,Hard,Average,0.00038559999999999994,9.839872204777643,0.41258325228274584
WPT-BT,VisuShrink,Hard,Median,0.00036376,9.793172864000205,0.40751904897455066
WPT-BT,RelErrorShrink,Hard,Individual,0.00036936,10.407234159844,0.3742096925718694
WPT-BT,RelErrorShrink,Hard,Average,0.00037342,10.456466989194222,0.3670944823132781
WPT-BT,RelErrorShrink,Hard,Median,0.00035828,10.46402863955718,0.37480915041061474
JBB,VisuShrink,Hard,Individual,0.00033808,9.022074361699492,0.42732960691115973
JBB,VisuShrink,Hard,Average,0.00033726,9.026029865495023,0.4360679630543787
JBB,VisuShrink,Hard,Median,0.00033062,8.94290432568354,0.42884928394014665
JBB,RelErrorShrink,Hard,Individual,0.00033742,11.18171137743841,0.43290498905636976
JBB,RelErrorShrink,Hard,Average,0.00031936,11.228853058832577,0.42036995601283855
JBB,RelErrorShrink,Hard,Median,0.00033076,11.268339762789022,0.42856760194172666
LSDB,VisuShrink,Hard,Individual,0.00038834000000000004,8.740703780883479,0.4110990319644895
LSDB,VisuShrink,Hard,Average,0.00035427999999999995,8.601665459753566,0.40562218092605606
